shapeName,shapeISO,shapeID,shapeGroup,shapeType,name_norm,tehsil_key,tehsil,spi_mean,spi_median,spi_std,spi_min,spi_max,spi_p25,spi_p75,spi_count,spi_range,ai_mean,ai_median,ai_std,ai_min,ai_max,ai_p25,ai_p75,ai_count,ai_range,area_km2,spi,ai,spi_z,ai_z,gap_index,gap_rank,queen_neighbors,spi_local_I,spi_spatial_lag,spi_local_p,spi_quadrant,spi_cluster,ai_local_I,ai_spatial_lag,ai_local_p,ai_quadrant,ai_cluster,gap_local_I,gap_spatial_lag,gap_local_p,gap_quadrant,gap_cluster,ols_fitted_spi,ols_residual,priority_strict,priority_relaxed,priority_lisa_gap,tri_mean,tri_count,forest_mean,forest_count,water_mean,water_count,snow_mean,snow_count,forest_pct,water_pct,snow_pct,tri_mean_z,forest_pct_z,water_pct_z,snow_pct_z,spi_sens_proposal,gap_sens_proposal,priority_sens_proposal,spi_sens_equal,gap_sens_equal,priority_sens_equal,spi_sens_terrain_emphasis,gap_sens_terrain_emphasis,priority_sens_terrain_emphasis,spi_sens_vegetation_water_emphasis,gap_sens_vegetation_water_emphasis,priority_sens_vegetation_water_emphasis,priority_frequency,spi_class,ai_class,bivariate_class
SHIGAR,,9618217B26900800837648,PAK,ADM3,SHIGAR,SHIGAR,SHIGAR,0.0001432660355931,-0.0594003051519393,0.4489309191703796,-2.096599578857422,3.3712730407714844,-0.3258482813835144,0.2789182364940643,886853,5.467872619628906,0.2970426976680755,0.188559427857399,0.2965144217014313,2.4240407583420165e-05,1.0,0.0509264580905437,0.4734572768211365,891744,0.9999757409095764,8917.203853891413,0.0001432660355931,0.2970426976680755,0.7400444703597897,-1.619100986933535,2.359145457293325,14,7,0.5854454362080869,0.7910949404479155,0.106,1,Not Significant,2.080678361729944,-1.285082510925155,0.001,3,LL,1.4244661396507228,1.1196465357183052,0.003,1,HH,0.13271151454201457,-0.1325682485064215,False,True,True,51.51642608642578,891744,0.0027317258063703775,891744,0.29902079701423645,891744,0.24955210089683533,886853,0.27317258063703775,29.902079701423645,24.955210089683533,0.8832788920601395,-1.1919816543997817,1.5692692757978004,1.2923995871551002,0.5630299364569356,2.515198258115179,True,0.6382415251533147,2.659166538449039,True,0.6324934445930486,2.5325275719964813,True,0.4935664283208225,2.4836442713520777,True,5,High,Low,High SPI / Low AI
SKARDU,,9618217B88498185372954,PAK,ADM3,SKARDU,SKARDU,SKARDU,-0.1379808634519577,-0.1706777811050415,0.4127422869205475,-1.1817201375961304,2.3729822635650635,-0.4339955449104309,0.111617237329483,193207,3.5547022819519043,0.4056725800037384,0.3342179656028747,0.3201175034046173,0.0011861287057399,1.0,0.1147457510232925,0.6640834212303162,193207,0.9988138675689696,1932.184777118149,-0.1379808634519577,0.4056725800037384,0.2977733460639262,-1.1783247364219962,1.4760980824859224,24,6,0.15812261584101686,0.5310166874609087,0.548,1,Not Significant,1.1497707019536378,-0.9757672621258352,0.015,3,LL,0.6468433874967013,0.8125824833108607,0.121,1,Not Significant,0.03370259611861903,-0.17168345957057674,False,True,False,41.87468338012695,193207,0.008441722951829433,193207,0.26592203974723816,193207,0.22632303833961487,193207,0.8441722951829433,26.592203974723816,22.632303833961487,0.18258273769336789,-1.1509377518771844,1.3179997561801176,1.0778510628885831,0.21057626777736208,1.5134700043954021,True,0.356873951221221,1.759879349010476,True,0.22048144133155215,1.49673690613992,True,0.2006710942231719,1.5298252375354848,True,5,Medium,Low,Medium SPI / Low AI
ALAI,,9618217B82118214800407,PAK,ADM3,ALAI,ALAI,ALAI,0.0716026946902275,0.0496903806924819,0.3820469975471496,-1.054577350616455,1.59560227394104,-0.1893086731433868,0.3136941194534302,81851,2.650179624557495,0.7533819675445557,0.7937005162239075,0.2010114043951034,0.1004330366849899,1.0,0.6215487718582153,0.9258747100830078,81851,0.8995669484138489,818.5817149927121,0.0716026946902275,0.7533819675445557,0.9688563511649733,0.23253972198117281,0.7363166291838005,32,5,0.7334687399143642,0.7570459119480676,0.093,1,HH,0.056241597340705274,0.2418580226274579,0.832,1,Not Significant,0.11032227157862236,0.2778319045611267,0.707,1,Not Significant,-0.28321140255166694,0.35481409724189444,False,False,False,50.09878158569336,81851,0.24444417655467987,81851,0.07363379746675491,81851,0.18897520005702972,81851,24.444417655467987,7.363379746675491,18.897520005702972,0.7802541505605064,0.5454661961479872,-0.1417582001743391,0.7328985462583988,0.5300513511650914,0.6110700731820216,False,0.4792151731981383,0.5483796851150564,False,0.5878913664224596,0.6164739837099017,False,0.47221133590772313,0.5945974491474244,False,0,High,Medium,High SPI / Medium AI
BATAGRAM,,9618217B42013741972359,PAK,ADM3,BATAGRAM,BATAGRAM,BATAGRAM,-0.0126678589731454,-0.0437996424734592,0.4019011259078979,-0.918981432914734,1.4699888229370115,-0.3177415728569031,0.254706859588623,53198,2.388970375061035,0.8278795480728149,0.917496144771576,0.2038374990224838,0.0947155877947807,1.0,0.7491535544395447,0.9746546149253844,53698,0.9052844047546388,537.0035719552862,-0.0126678589731454,0.8278795480728149,0.6990234649631888,0.5348208578104743,0.1642026071527145,37,5,0.3146037770959635,0.4500618260540522,0.362,1,Not Significant,0.2786723253052689,0.5210573245892789,0.417,1,Not Significant,-0.003390344288733908,-0.03828664256708415,0.989,4,Not Significant,-0.3511109962423918,0.3384431372692464,False,False,False,39.097286224365234,53698,0.3731982707977295,53698,0.11095385253429413,53698,0.05384034290909767,53198,37.31982707977295,11.095385253429413,5.384034290909767,-0.019259560475413984,1.4709606156503967,0.1415573404449441,-0.5152355145387871,0.3110624706306043,-0.039745528684657916,False,0.26950572027028497,-0.09563975701612487,False,0.2285106167782959,-0.20481321248424722,False,0.3936143244829128,0.15464382486735084,False,0,High,Medium,High SPI / Medium AI
DAGGAR,,9618217B69506225279330,PAK,ADM3,DAGGAR,DAGGAR,DAGGAR,-0.4548050165176391,-0.4937454760074615,0.4305022358894348,-1.23467755317688,1.2009344100952148,-0.8672871589660645,-0.1296309977769851,64778,2.4356119632720947,0.8134799599647522,0.869208812713623,0.1738291829824447,0.158378392457962,1.0,0.7011538743972778,0.9622238278388976,65664,0.8416216373443604,656.5941548691906,-0.4548050165176391,0.8134799599647522,-0.7166922284906846,0.4763931368306206,-1.1930853653213052,52,5,0.4934127162588259,-0.6884583041983401,0.2,3,Not Significant,0.2562701260927082,0.5379383250515295,0.43,1,Not Significant,0.4255351193143183,-0.6613744583576463,0.249,3,Not Significant,-0.33798672864983054,-0.11681828786780857,False,False,False,34.26316452026367,65664,0.16547879576683044,65664,0.0028782894369214773,65664,0.02766420505940914,64778,16.547879576683044,0.28782894369214773,2.766420505940914,-0.37057058286891364,-0.0221430879115954,-0.6788992888727938,-0.7570038481860664,-0.40309444012793305,-1.1179430872652032,False,-0.4571542019598423,-1.221362428941125,False,-0.40509937957560493,-1.0614245645238234,False,-0.4010895006802611,-1.1789515248547544,False,0,Low,Medium,Low SPI / Medium AI
GAGRA,,9618217B56430132914599,PAK,ADM3,GAGRA,GAGRA,GAGRA,-0.3980910181999206,-0.3960760831832886,0.4449165165424347,-1.316110372543335,1.473414659500122,-0.8198720216751099,-0.0843143910169601,46037,2.789525032043457,0.783274233341217,0.8355168104171753,0.1936235278844833,0.0716032236814498,1.0,0.6584202647209167,0.9469975233078004,47209,0.9283967614173888,472.097585627056,-0.3980910181999206,0.783274233341217,-0.5350949659967927,0.35383048059981803,-0.8889254465966108,48,4,0.027877845564836374,-0.0520988746603224,0.883,3,Not Significant,0.2530540456708673,0.7151844161132945,0.507,1,Not Significant,0.19835996389577987,-0.4137825877364522,0.58,3,Not Significant,-0.310456216244892,-0.0876348019550286,False,False,False,35.0318603515625,47209,0.20631659030914307,47209,4.236480162944645e-05,47209,0.025074973702430725,46037,20.631659030914307,0.004236480162944645,2.5074973702430725,-0.31470700827705256,0.27140214787989897,-0.7004282367735741,-0.7809185354557701,-0.3152556940139266,-0.8555795863544503,False,-0.38116290815662446,-0.974965888851332,False,-0.32527509039694813,-0.8235822504675538,False,-0.3052362976309051,-0.8884900038890472,False,0,Medium,Medium,Medium SPI / Medium AI
CHITRAL,,9618217B14913426707390,PAK,ADM3,CHITRAL,CHITRAL,CHITRAL,0.0723377615213394,0.0430411472916603,0.4813307821750641,-1.3130652904510498,2.8150930404663086,-0.2594608962535858,0.3729926943778991,584979,4.1281585693359375,0.5130157470703125,0.4931626915931701,0.2847935259342193,0.0003285261627752,1.0,0.2741999626159668,0.7575343251228333,591765,0.999671459197998,5917.922388566621,0.0723377615213394,0.5130157470703125,0.9712100227141414,-0.7427694575214955,1.7139794802356367,19,3,1.1021387574109904,1.1348099089123445,0.078,1,HH,0.7134585341919687,-0.9605383298509166,0.179,3,Not Significant,1.0444671154178389,1.1299850092790422,0.085,1,HH,-0.0641335668495353,0.13647132837087472,False,True,True,54.16570281982422,591765,0.04903804883360863,591765,0.27869677543640137,591765,0.2500320076942444,584980,4.903804883360863,27.869677543640137,25.00320076942444,1.075810271033043,-0.8591282115532575,1.4149792794282425,1.2968321076201836,0.6930627275535789,1.8458220284498825,True,0.7321233616320529,1.9358229613816733,True,0.7728512012631339,1.8588961771996564,True,0.6132742538440239,1.8169959592539175,True,5,High,Low,High SPI / Low AI
MASTUJ,,9618217B15142704211186,PAK,ADM3,MASTUJ,MASTUJ,MASTUJ,0.1845552772283554,0.1572256386280059,0.4966513812541961,-1.2155123949050903,2.710132598876953,-0.1673264652490615,0.5197193622589111,879318,3.925644874572754,0.342437744140625,0.2392786592245102,0.3157033920288086,9.163954018731602e-06,1.0,0.0635651499032974,0.5800808072090149,884910,0.9999908208847046,8849.246038145184,0.1845552772283554,0.342437744140625,1.3305286082615269,-1.4349061968283587,2.7654348050898854,7,6,1.5768520530338106,1.1851320168862294,0.006,1,HH,2.102985707419111,-1.4655910693447696,0.001,3,LL,2.131870040240264,1.429489044245367,0.001,1,HH,0.0913369465466356,0.09321833068171981,True,True,True,52.15654373168945,884910,0.004381236620247364,884910,0.4000644087791443,884910,0.3215022683143616,879318,0.4381236620247364,40.00644087791443,32.15022683143616,0.9297982803119699,-1.1801248426834083,2.336342782026349,1.9569465184887873,0.8376986356325238,2.7681558392659884,True,1.0107406845359246,3.0819888858597446,True,0.8728675666965737,2.695473318077883,True,0.8025297045684738,2.8406372733757306,True,5,High,Low,High SPI / Low AI
DASSU,,9618217B96945867102806,PAK,ADM3,DASSU,DASSU,DASSU,0.0830963850021362,0.0643631070852279,0.4212073087692261,-1.8429749011993408,2.12561559677124,-0.2021145522594452,0.3514280915260315,351396,3.968590497970581,0.3454453945159912,0.2675877809524536,0.289150595664978,0.0011672447435557,1.0,0.0925723165273666,0.5562490820884705,351396,0.9988327622413636,3513.9999394583187,0.0830963850021362,0.3454453945159912,1.0056589529653668,-1.4227023646341272,2.428361317599494,12,6,0.9292149819646237,0.9239861875884126,0.045,1,HH,1.222166972578776,-0.8590461385035213,0.012,3,LL,1.2592311675702064,0.9615584475509538,0.009,1,HH,0.08859567311194122,-0.005499288109805017,True,True,True,56.94376754760742,351396,0.13168050348758698,351396,0.11360971629619598,351396,0.24623361229896545,351396,13.168050348758698,11.360971629619598,24.623361229896545,1.2777010837870473,-0.26508783523825963,0.16171935457254014,1.261749326098959,0.6664147445346058,2.4833430080261834,True,0.6090204823050718,2.415149892489207,True,0.7993532769465966,2.577102525239728,True,0.5334762121226152,2.357152623248265,True,5,High,Low,High SPI / Low AI
KANDIA,,9618217B42691934354201,PAK,ADM3,KANDIA,KANDIA,KANDIA,0.0970796942710876,0.0792872607707977,0.4148466289043426,-1.3308744430541992,2.6645257472991943,-0.1678214073181152,0.3455766141414642,208773,3.9954001903533936,0.1788792759180069,0.0834337249398231,0.2222733348608017,0.0001151648830273,1.0,0.0179698467254638,0.2564235031604767,208773,0.999884843826294,2087.676811297323,0.0970796942710876,0.1788792759180069,1.0504332725190935,-2.0985604953740586,3.148993767893152,2,5,1.1116384055810644,1.0582665597741323,0.032,1,HH,2.810658701289155,-1.3393269850856349,0.001,3,LL,2.19573691403857,1.292980667325645,0.001,1,HH,0.24040962056160467,-0.14332992629051705,True,True,True,60.750709533691406,208773,0.044929180294275284,208773,0.1764117032289505,208773,0.2828250229358673,208773,4.492918029427528,17.64117032289505,28.28250229358673,1.5543636841905821,-0.8886630774227932,0.6384812148543212,1.599715317349741,0.7672332448938599,3.3196600721313096,True,0.7259742847429628,3.281593587221047,True,0.9351787064413417,3.4491153502119745,True,0.5992877833463781,3.148287946021106,True,5,High,Low,High SPI / Low AI
PALAS,,9618217B98955281089867,PAK,ADM3,PALAS,PALAS,PALAS,0.2808600664138794,0.2646803855895996,0.4404022097587585,-1.1700788736343384,2.0791494846343994,-0.0301952809095382,0.5923250317573547,141020,3.249228477478028,0.8050960898399353,0.8853488564491272,0.2035738229751587,0.0904755443334579,1.0,0.6939740777015686,0.9622238278388976,141020,0.9095244407653807,1410.343723108871,0.2808600664138794,0.8050960898399353,1.6388949128759334,0.44237477320049357,1.1965201396754397,26,6,1.6778905795601728,1.0237938786543734,0.001,1,HH,-0.13464978392800306,-0.30437943591095534,0.644,4,Not Significant,0.46217633523241786,0.7162608617597175,0.218,1,Not Significant,-0.33034538820636555,0.611205454620245,False,False,False,57.394676208496094,141020,0.3534746766090393,141020,0.059608567506074905,141020,0.19333219528198242,141020,35.34746766090393,5.9608567506074905,19.333219528198242,1.3104700524558501,1.3291858902602696,-0.2482308621634156,0.7731406736988494,0.9228094221695518,1.0263339960535443,False,0.7911414385628883,0.8468534017102852,False,0.9998086760102941,1.0015165942934132,False,0.8458101683288094,1.0391674447525419,False,0,High,Medium,High SPI / Medium AI
