shapeName,shapeISO,shapeID,shapeGroup,shapeType,name_norm,_key,tehsil,spi_mean,spi_count,ai_mean,ai_count,area_km2,spi,ai,spi_z,ai_z,gap_index,gap_rank,n_neighbors,spi_cluster,spi_local_I,spi_local_p,ai_cluster,ai_local_I,ai_local_p,gap_cluster,gap_local_I,gap_local_p,priority_strict,priority_relaxed,priority_lisa,tri_mean,forest_pct,water_pct,snow_pct,tri_mean_z,forest_pct_z,water_pct_z,snow_pct_z,spi_alt_proposal,spi_alt_equal,spi_alt_terrain_emphasis,spi_alt_veg_water_emph,priority_frequency,spi_class,ai_class,biv_class
DAREL TANGIR,,9618217B87521623220935,PAK,ADM3,DAREL TANGIR,DAREL TANGIR,DAREL TANGIR,-0.1290067732334137,268204,0.3562758564949035,268204,2682.0354177087866,-0.1290067732334137,0.3562758564949035,0.3395675819468711,-1.378354891232293,1.717922473179164,19,6,HH,0.22701506161264368,0.035,LL,2.0430866188726173,0.001,HH,1.0697443765038213,0.002,False,True,True,50.63146,0.089939,0.0979702,0.18143623,0.8189653783484804,-0.565129013825415,0.04299184252297315,0.6632670388841139,0.28660740524703177,0.2400238114825381,0.4023957186202203,0.18638892582027997,0.0,Med,Low,Med SPI / Low AI
KHAPLU,,9618217B25754962135590,PAK,ADM3,KHAPLU,KHAPLU,KHAPLU,-0.0260675810277462,262577,0.4732645452022552,262577,2637.432394734466,-0.0260675810277462,0.4732645452022552,0.6723680420553807,-0.9039838701806987,1.5763519122360794,23,4,NS,0.3895243985033374,0.121,LL,1.1881184325857261,0.004,HH,0.8642255772539904,0.014,False,True,True,52.011997,0.005816378,0.37304446,0.17750528,0.9192935358962885,-1.1698089339062392,2.131220600525502,0.6269600345467266,0.5809366311015869,0.6269163092655694,0.6394120764277306,0.5516945359103993,0.0,High,Low,High SPI / Low AI
MASHABRUM,,9618217B85218379767883,PAK,ADM3,MASHABRUM,MASHABRUM,MASHABRUM,0.049782671034336,586013,0.263824462890625,586013,5908.064033408854,0.049782671034336,0.263824462890625,0.9175904713821342,-1.753230979393357,2.6708214507754913,9,2,NS,0.6510213817160367,0.187,LL,2.1797451447080682,0.055,HH,1.5099746172011304,0.075,True,True,True,50.29164,0.000455321,0.33772123,0.27496937,0.7942697922680264,-1.2083446288658408,1.8630639574227221,1.5271589287797545,0.6539528473178444,0.7440370124011655,0.6639994032912165,0.5706173776932993,4.0,High,Low,High SPI / Low AI
GUPIS,,9618217B90015961408219,PAK,ADM3,GUPIS,GUPIS,GUPIS,0.1171110942959785,529770,0.2441778182983398,529770,5298.000053249942,0.1171110942959785,0.2441778182983398,1.1352619894866007,-1.8328950816109113,2.968157071097512,4,7,HH,1.041003980193944,0.004,LL,2.97058241455164,0.001,HH,2.1807129029137156,0.001,True,True,True,49.8549,0.004460426,0.39632672,0.29011142,0.762530443195103,-1.1795556229363764,2.307968088774559,1.6670141354298642,0.7669931942250766,0.8894892611157874,0.7416014306409398,0.7019365885857374,4.0,High,Low,High SPI / Low AI
ISHKOMEN,,9618217B15965056410830,PAK,ADM3,ISHKOMEN,ISHKOMEN,ISHKOMEN,0.1026505827903747,274286,0.2543298304080963,274286,2754.8893163101693,0.1026505827903747,0.2543298304080963,1.0885114294777922,-1.7917302441941918,2.880241673671984,6,7,HH,1.0257776084290096,0.003,LL,2.7348394406451266,0.001,HH,2.0586314771666983,0.001,True,True,True,56.275208,0.003916757,0.33913526,0.26778734,1.2291145932919545,-1.1834635569298086,1.8737985851473962,1.4608241637996167,0.8012487682091345,0.8450684463272897,0.8780579976020674,0.7012685817654354,4.0,High,Low,High SPI / Low AI
PUNIAL,,9618217B13486207754369,PAK,ADM3,PUNIAL,PUNIAL,PUNIAL,-0.1569789946079254,154058,0.2606081664562225,154058,1540.4236789470845,-0.1569789946079254,0.2606081664562225,0.2491339196630704,-1.766272563502473,2.0154064831655436,16,4,HH,0.18587462367261132,0.061,LL,2.5667279181664306,0.001,HH,1.283266358439145,0.005,False,True,True,49.034477,0.011664438,0.23540485,0.17290892,0.7029076841023991,-1.1277726256176783,1.0863282228923279,0.584507012621497,0.2982415801341851,0.31149257349963644,0.37652460225473755,0.23179862516172278,0.0,Med,Low,Med SPI / Low AI
YASIN,,9618217B38991384841424,PAK,ADM3,YASIN,YASIN,YASIN,0.0685531795024871,250094,0.3395663201808929,250094,2500.832620437283,0.0685531795024871,0.3395663201808929,0.9782751699971234,-1.4461094740911895,2.424384644088313,12,3,HH,1.1368836307757038,0.013,LL,2.405700725501121,0.005,HH,1.9833642318253557,0.002,True,True,True,54.263283,0.0029588875,0.31122297,0.2702188,1.0829016204129283,-1.190348798595787,1.6619021877144098,1.48328157113219,0.7104651192648981,0.7594341451659352,0.7751586143142966,0.6057336291435733,4.0,High,Low,High SPI / Low AI
GILGIT,,9618217B24239170098361,PAK,ADM3,GILGIT,GILGIT,GILGIT,-0.092282697558403,400265,0.4785788059234619,400265,4002.692458970027,-0.092282697558403,0.4785788059234619,0.4582958235410419,-0.8824353656858809,1.340731189226923,25,9,HH,0.28628529061290714,0.02,LL,1.2254012116070527,0.001,HH,0.7815058969397681,0.001,False,True,True,55.214275,0.028990794,0.23045732,0.1625445,1.1520132774789573,-1.0032294349646085,1.0487690168199792,0.4887791001994675,0.4599069117803723,0.4215829898834489,0.6059929692994739,0.3801442719892196,0.0,Med,Low,Med SPI / Low AI
ALIABAD,,9618217B18607943062555,PAK,ADM3,ALIABAD,ALIABAD,ALIABAD,0.0807007402181625,80554,0.2649150192737579,80554,805.707053881232,0.0807007402181625,0.2649150192737579,1.0175480038784663,-1.7488089420947324,2.7663569459731985,7,3,HH,1.2093751166798676,0.008,LL,2.736432325801244,0.006,HH,2.2051114637763205,0.003,True,True,True,68.42625,0.0011669191,0.2853862,0.1980125,2.1121692698780254,-1.203229606204243,1.4657621432358665,0.816369021931846,0.8948780759397906,0.7977677072103738,1.1577583884733211,0.7615777882008783,4.0,High,Low,High SPI / Low AI
GOJAL,,9618217B58972864826743,PAK,ADM3,GOJAL,GOJAL,GOJAL,0.2931330502033233,1069181,0.2491613626480102,1069181,10801.975096734663,0.2931330502033233,0.2491613626480102,1.7043376414319142,-1.8126875808026688,3.517025222234583,1,5,HH,1.6079513015523341,0.01,LL,2.8982933912371003,0.001,HH,2.588714668280041,0.001,True,True,True,53.695877,0.0013062021,0.5455463,0.30940866,1.041666442711972,-1.202228429075879,3.4407698434826086,1.8452475444350842,1.121229625263759,1.2813638503884466,1.073290143728464,1.0888109966267427,4.0,High,Low,High SPI / Low AI
